molecule_chembl_id,canonical_smiles,standard_value
CHEMBL320000,Cc1cn(C2C=CC(COP3(=O)Oc4ccccc4C(C(Cl)(Cl)Cl)O3)O2)c(=O)[nH]c1=O,27000.0
CHEMBL2114303,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO[P@]3(=O)OCc4cccc(-c5ccccc5)c4O3)O2)CC1/C=C/Br,3700.0
CHEMBL318643,Cc1cn(C2C=CC(COP3(=O)OCc4cccc(CCC(=O)OC(C)(C)C)c4O3)O2)c(=O)[nH]c1=O,3400.0
CHEMBL262299,Cc1cn(C2C=CC(COP3(=O)OCc4cc(CCC(=O)OCc5ccccc5)ccc4O3)O2)c(=O)[nH]c1=O,22000.0
CHEMBL2114301,Cc1cn([C@H]2C=C[C@@H](CO[P@]3(=O)OCc4cccc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O,2600.0
CHEMBL447232,Cc1cn(C2C=CC(COP3(=O)Oc4ccccc4C(CCl)O3)O2)c(=O)[nH]c1=O,3900.0
CHEMBL3142708,Cc1cccc2c1OP(=O)(OC[C@H]1O[C@@H](N3CC(/C=C/Br)C(=O)NC3=O)C[C@@H]1O)OC2,50000.0
CHEMBL375767,Cc1cn([C@H]2C=C[C@@H](COP3(=O)OCc4ccccc4O3)O2)c(=O)[nH]c1=O,770.0
CHEMBL319367,Cc1cn(C2C=CC(COP3(=O)OCc4cccc(-c5ccccc5)c4O3)O2)c(=O)[nH]c1=O,350.0
CHEMBL2112393,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](COP3(=O)OCc4cccc(-c5ccccc5)c4O3)O2)C[C@H]1/C=C/Br,50000.0
CHEMBL2111587,Cc1cn([C@H]2C=C[C@@H](CO[P@@]3(=O)OCc4cccc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O,50000.0
CHEMBL329491,Cc1cccc2c1OP(=O)(OCC1C=CC(n3cnc4c(N)ncnc43)O1)OC2,1200.0
CHEMBL97177,Cc1cn(C2C=CC(COP3(=O)OCc4c(F)c(C(C)(C)C)cc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O,48000.0
CHEMBL3142709,Cc1cccc2c1OP(=O)(OC[C@H]1O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]1O)OC2,36000.0
CHEMBL319963,Cc1cn(C2C=CC(COP3(=O)OCc4cccc(CCC(=O)OCc5ccccc5)c4O3)O2)c(=O)[nH]c1=O,2800.0
CHEMBL2114386,Cc1cccc2c1O[P@@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)OC2,50000.0
CHEMBL2114302,Cc1cccc2c1O[P@](=O)(OC[C@H]1O[C@@H](n3cc(F)c(=O)[nH]c3=O)C[C@@H]1O)OC2,50000.0
CHEMBL3350302,Cc1cccc2c1O[P@@](=O)(OC[C@@H](CO)OCn1cnc3c(O)nc(N)nc31)OC2,50000.0
CHEMBL2111583,Cc1cccc2c1OP(=O)(OC[C@@H]1C[C@H](F)[C@H](n3cnc4c(N)ncnc43)O1)OC2,5000.0
CHEMBL97289,Cc1cn(C2C=CC(COP3(=O)OCc4cc(CCC(=O)O)ccc4O3)O2)c(=O)[nH]c1=O,50000.0
CHEMBL3142710,Cc1cccc2c1OP(=O)(OC[C@H]1O[C@@H](n3cc(F)c(=O)[nH]c3=O)C[C@@H]1O)OC2,50000.0
CHEMBL2112391,Cc1cccc2c1OP(=O)(OC[C@@H]1C[C@@H](F)[C@H](n3cnc4c(N)ncnc43)O1)OC2,1100.0
CHEMBL95465,COC(=O)CCc1cccc2c1OP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)OC2,2700.0
CHEMBL419521,CCC(C)c1ccc2c(c1)COP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)O2,3300.0
CHEMBL541464,Cc1cn(C2C=CC(COP3(=O)Oc4cccc(Cl)c4C(C)O3)O2)c(=O)[nH]c1=O,1800.0
CHEMBL328165,CCCCC1OP(=O)(OCC2C=CC(n3cc(C)c(=O)[nH]c3=O)O2)Oc2cccc(Cl)c21,13000.0
CHEMBL433371,CCOC(=O)CC1OP(=O)(OCC2C=CC(n3cc(C)c(=O)[nH]c3=O)O2)Oc2cccc(Cl)c21,50000.0
CHEMBL2114383,COc1ccc2c(c1)CO[P@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)O2,50000.0
CHEMBL2165109,Cc1cccc2c1O[P@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)OC2,240.0
CHEMBL2114298,Cc1cccc2c1O[P@@](=O)(OC[C@H](CO)OCn1cnc3c(O)nc(N)nc31)OC2,23000.0
CHEMBL94571,Cc1cccc2c1OP(=O)(OCC1OC(n3cc(C)c(=O)[nH]c3=O)CC1=O)OC2,50000.0
CHEMBL3142699,Cc1cccc2c1OP(=O)(OC[C@H]1O[C@@H](N3C=NC4C(=O)N=C(N)N=C43)C[C@@H]1O)OC2,50000.0
CHEMBL97804,Cc1cn(C2C=CC(COP3(=O)OCc4cc(-c5ccccc5)ccc4O3)O2)c(=O)[nH]c1=O,4400.0
CHEMBL95375,Cc1cn(C2C=CC(COP3(=O)OCc4ccc5ccccc5c4O3)O2)c(=O)[nH]c1=O,250.0
CHEMBL305670,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN[C@@H]1N2C,35.0
CHEMBL75729,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CCc3ccccc3)[C@@H]1N2C,7.0
CHEMBL74950,COc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,230.0
CHEMBL74107,CCCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,9.0
CHEMBL74257,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)[C@@H]1N2C,55.0
CHEMBL307721,C=CCN1CC[C@@]2(C)c3cc(OC(=O)NC)ccc3N(C)[C@@H]12,16.0
CHEMBL308503,CN1CC[C@@]2(C)c3cc(OC(=O)NC(C)(C)C)ccc3N(C)[C@@H]12,11000.0
CHEMBL308043,CN(C)C(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,3000.0
CHEMBL74926,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12,2500.0
CHEMBL424100,C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4CC=C([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1)C(C)C,3650.0
CHEMBL359415,C/C(=C\C(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1)C(C)C,4630.0
CHEMBL343365,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](NC(=O)c5ccccc5)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C)N(C)C,28900.0
CHEMBL146254,CC(=O)O[C@H]1[C@@H](NC(=O)C=C(C)C)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@H]4[C@H](C)N(C)C)[C@@H]3CC[C@@H]12,2300.0
CHEMBL343054,C/C=C(\C)C(=O)N[C@H]1[C@@H](O)C[C@]2(C)[C@H]3CC[C@@]4(C)C(=CC[C@@H]4[C@H](C)N(C)C)[C@@H]3CC[C@H]2[C@H]1OC(C)=O,38360.0
CHEMBL146080,C/C=C(\C)C(=O)N[C@@H]1C=C2CC[C@H]3[C@@H]4CC=C([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)C[C@H]1O,23780.0
CHEMBL343780,C/C=C(\C)C(=O)N[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1=O,2100.0
CHEMBL422098,CC(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1,10300.0
CHEMBL413039,CC(=O)O[C@H]1[C@@H](NC(=O)c2ccccc2)[C@@H](O)C[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@H]4[C@H](C)N(C)C)[C@@H]3CC[C@@H]12,17990.0
CHEMBL421920,C/C=C(\C)C(=O)N[C@H]1[C@@H](O)C[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@H]4[C@H](C)N(C)C)[C@@H]3CC[C@H]2[C@H]1OC(C)=O,18200.0
CHEMBL137039,C/C=C(\C)C(=O)N[C@H]1CC[C@@]2(C)C(=CC[C@H]3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CC[C@@H]32)C1=O,4290.0
CHEMBL409854,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](N(C)C(=O)/C=C/c5ccccc5)CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,4840.0
CHEMBL335133,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C(=O)C(NC(=O)c5ccccc5)=CC[C@]4(C)[C@H]3CC[C@@]21C)N(C)C,2490.0
